 2016-11-20 09:17:57,461 [P7772/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.4 application starting on DESKTOP-PUKGAD0
 2016-11-20 09:17:57,572 [P7772/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-11-20 09:17:57,608 [P7772/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 35ms)
 2016-11-20 09:17:58,000 [P7772/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-11-20 09:17:59,716 [P7772/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 1715ms)
 2016-11-20 09:17:59,856 [P7772/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-11-20 09:17:59,905 [P7772/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 49ms)
 2016-11-20 09:17:59,907 [P7772/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-11-20 09:17:59,958 [P7772/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 51ms)
 2016-11-20 09:18:00,032 [P7772/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-11-20 09:18:00,081 [P7772/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 49ms)
 2016-11-20 09:18:00,084 [P7772/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-11-20 09:18:00,146 [P7772/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 62ms)
 2016-11-20 09:18:00,426 [P7772/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-11-20 09:18:00,476 [P7772/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 49ms)
 2016-11-20 09:18:00,479 [P7772/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-11-20 09:18:00,524 [P7772/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 45ms)
 2016-11-20 09:18:06,309 [P7772/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-11-20 09:18:07,597 [P7772/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-11-20 09:18:07,838 [P7772/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-11-20 09:18:08,068 [P7772/D2/T1] WARN  Umbraco.Core.Sync.DatabaseServerMessenger - No last synced Id found, this generally means this is a new server/install. The server will build its caches and indexes, and then adjust its last synced Id to the latest found in the database and maintain cache updates based on that Id.
 2016-11-20 09:18:08,272 [P7772/D2/T1] INFO  umbraco.content - Load Xml from file...
 2016-11-20 09:18:08,292 [P7772/D2/T1] INFO  umbraco.content - Loaded Xml from file.
 2016-11-20 09:18:08,316 [P7772/D2/T1] INFO  umbraco.content - Loading content from database...
 2016-11-20 09:18:11,548 [P7772/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-11-20 09:18:11,617 [P7772/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-11-20 09:18:11,618 [P7772/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-11-20 09:18:11,714 [P7772/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 14628ms)
 2016-11-20 09:18:14,286 [P7772/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-11-20 09:18:14,415 [P7772/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 129ms)
 2016-11-20 09:18:14,993 [P7772/D2/T14] INFO  umbraco.content - Save Xml to file...
 2016-11-20 09:18:15,084 [P7772/D2/T14] INFO  umbraco.content - Saved Xml to file.
