 2016-11-20 08:14:48,281 [P4872/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.4 application starting on S0TE6RO6A4D5GL3
 2016-11-20 08:14:48,431 [P4872/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-11-20 08:14:48,618 [P4872/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 186ms)
 2016-11-20 08:14:48,919 [P4872/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-11-20 08:14:49,343 [P4872/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 423ms)
 2016-11-20 08:14:49,603 [P4872/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-11-20 08:14:49,603 [P4872/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 0ms)
 2016-11-20 08:14:49,604 [P4872/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-11-20 08:14:49,605 [P4872/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 1ms)
 2016-11-20 08:14:49,613 [P4872/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-11-20 08:14:49,614 [P4872/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 0ms)
 2016-11-20 08:14:49,614 [P4872/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-11-20 08:14:49,660 [P4872/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 45ms)
 2016-11-20 08:14:49,995 [P4872/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-11-20 08:14:49,997 [P4872/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 1ms)
 2016-11-20 08:14:49,997 [P4872/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-11-20 08:14:49,998 [P4872/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 1ms)
 2016-11-20 08:14:52,784 [P4872/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-11-20 08:14:54,372 [P4872/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-11-20 08:14:54,859 [P4872/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
